Full Name,Email,Age,Zip,Phone,Gender,Password,Street,Major
Alisa Lynch,aly8942@lionstate.edu,19,62901,1507045398,F,ixg1libp,78 South Brewery Ave.,CHEM
Alisha Murray,amu1270@lionstate.edu,21,46376,3852017301,F,4eystjwe,639 Princeton Rd.,CMPSC
Alice Kiehn,aki5907@lionstate.edu,20,30529,4651079903,M,p0ulbn26,8985 Cambridge Ave.,PHYS
Anastasia Shields,ash5820@lionstate.edu,18,72571,1245720203,F,06e84eor,55 Hall St.,CSE
Alyce Leuschke Jr.,ale8219@lionstate.edu,21,80104,5672573168,M,ev4n7hoh,232 W. Homewood Ave.,PHYS
Althea Leuschke,ale8939@lionstate.edu,21,91042,5188242875,F,oqt6byzj,608 North Addison St.,PHYS
Alysa Hintz,ahi5324@lionstate.edu,20,52041,2747801612,F,d797xc1r,7764 Union Avenue,EE
Alisha Beier,abe4600@lionstate.edu,21,33162,9958003600,M,gr1wwq45,91 S. Gartner Street,CSE
Anastacio Krajcik,akr4205@lionstate.edu,18,86426,8949156456,F,uy8t28xc,7195 North Canterbury Circle,DS
Alfonso Torp,ato9019@lionstate.edu,18,80820,6526624001,F,dfo34diu,963 Court Road,PHYS
Alexis Schulist,asc2712@lionstate.edu,22,62943,8721850538,M,l55ah9nv,9599 La Sierra St.,CMPEN
Alicia Harber,aha9325@lionstate.edu,22,62684,8227926780,F,a1uqkqum,83 Corona Street,MATH
Amiya Bogisich II,abo7856@lionstate.edu,18,47360,7939218274,M,h18e8b5s,361 E. Sierra Street,MATH
Alfredo Trantow,atr9605@lionstate.edu,20,46121,1893023565,F,wxl0jmfp,7450 West Manchester Street,CMPSC
Alysson Okuneva,aok9861@lionstate.edu,20,62824,3318636528,F,o81zf7vv,863 Stillwater Road,MATH
Anabel Littel,ali8897@lionstate.edu,22,30277,9062058566,M,4n61e74y,798 North Euclid Drive,EE
Alycia Berge,abe6138@lionstate.edu,20,50244,3098851985,F,frmyglmo,8687 N. Sleepy Hollow Court,EE
Ali Ledner,ale7189@lionstate.edu,19,71602,6758666803,F,ougfoqn0,608 North Addison St.,STAT
Angela Jast Jr.,aja3132@lionstate.edu,19,33847,4557224936,M,nthuiyec,141 Gulf Rd.,STAT
Amely Rohan,aro5704@lionstate.edu,18,39834,2554741695,F,5h880la6,18 Lakeview Street,PHYS
Amaya Mosciski,amo7945@lionstate.edu,19,32927,6731949798,F,wd5xogip,7764 Union Avenue,CMPSC
Alexys Stanton,ast1122@lionstate.edu,21,61870,2485721261,M,93fj0cwc,9659 Rosewood Drive,EE
Allene Zulauf,azu5256@lionstate.edu,22,96058,2474237601,M,mg8nk8d5,358 Marvon Ave.,ECON
Alysa Bosco Sr.,abo9166@lionstate.edu,19,62884,3457483321,F,gjgm1fqt,7529 Old Sunset Road,EE
Amie Pacocha,apa5949@lionstate.edu,18,60932,4152623526,M,uh69s5qo,608 North Addison St.,ECON
Amara Gaylord,aga6525@lionstate.edu,22,30078,3829440069,F,h5rqfz6v,780 East Redwood Drive,PHYS
Americo Mitchell,ami4349@lionstate.edu,19,62320,6366913892,M,viq0h6xe,9498 Newport Ave.,MATH
Alivia Brown DDS,abr9092@lionstate.edu,21,33035,1214453150,F,tr7phe04,780 East Redwood Drive,CHEM
Alexane Hermann,ahe1989@lionstate.edu,21,60613,8035503021,F,t4v6sg4w,88 Harrison Street,ECON
Amaya Denesik,ade2931@lionstate.edu,19,62530,5505925647,F,pt2zj3ku,639 Princeton Rd.,CHEM
Andre Will,awi2065@lionstate.edu,22,51573,7747714736,F,9gbzyxsk,8687 N. Sleepy Hollow Court,CMPSC
Lenna Jewess Sr.,lje9488@lionstate.edu,19,31216,2299506854,F,p7yiphsy,7313 Stillwater Lane,DS
Rosie Bruen,rbr2525@lionstate.edu,21,61252,7994282824,M,mn60ih69,453 North Elm Dr.,CSE
Lorenzo Dickens,ldi6656@lionstate.edu,19,50515,8963281882,M,1vnxmx51,8131 Elizabeth Ave.,CSE
